epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3195.46,0.80607,1.42514,0.75134,1.13349,0.77187,0.65588,0.74283,0.54812,0.76347,0.64558,0.73765,0.49593,0.7703,1.44547,0.81331,1.23495,0.0014258,0.0014258,0.0014258
31,3298.62,0.79435,1.41821,0.72794,1.1185,0.72396,0.70205,0.75272,0.56325,0.72656,0.70311,0.75686,0.50077,0.78085,1.45458,0.71163,1.24243,0.001406,0.001406,0.001406
32,3401.82,0.78665,1.39458,0.74593,1.117,0.75981,0.67161,0.74624,0.55286,0.74861,0.66462,0.74612,0.50019,0.78976,1.58295,0.74235,1.25715,0.0013862,0.0013862,0.0013862
33,3504.84,0.7901,1.36345,0.72623,1.10176,0.76986,0.69231,0.74585,0.55928,0.75959,0.68308,0.735,0.49326,0.7966,1.52057,0.72027,1.23862,0.0013664,0.0013664,0.0013664
34,3607.74,0.77503,1.32924,0.7023,1.10492,0.75373,0.65921,0.74499,0.56067,0.7522,0.66154,0.74427,0.49725,0.7402,1.48711,0.70168,1.20125,0.0013466,0.0013466,0.0013466
35,3710.5,0.78158,1.33227,0.71402,1.10488,0.73697,0.6897,0.76406,0.57646,0.72335,0.69187,0.75348,0.51646,0.70965,1.41026,0.68774,1.15677,0.0013268,0.0013268,0.0013268
36,3819.35,0.76023,1.32319,0.6925,1.09158,0.83546,0.67182,0.78889,0.60323,0.82019,0.65846,0.76968,0.52118,0.7069,1.39719,0.66752,1.20234,0.001307,0.001307,0.001307
37,3928.17,0.74869,1.30467,0.68389,1.09009,0.78428,0.68237,0.76571,0.58678,0.78061,0.68,0.7697,0.52442,0.72501,1.39689,0.69637,1.1862,0.0012872,0.0012872,0.0012872
38,4031.22,0.73929,1.27169,0.68329,1.08903,0.84943,0.61538,0.7371,0.55357,0.8425,0.60901,0.74431,0.48319,0.84518,1.57495,0.75451,1.30998,0.0012674,0.0012674,0.0012674
39,4133.99,0.72754,1.3164,0.68371,1.0862,0.80536,0.66205,0.74285,0.57096,0.75407,0.66042,0.73364,0.50139,0.69492,1.4578,0.71642,1.16809,0.0012476,0.0012476,0.0012476
40,4236.77,0.72975,1.28216,0.6877,1.0701,0.76501,0.70117,0.76313,0.59394,0.7673,0.70006,0.76289,0.52556,0.67984,1.39351,0.68295,1.14271,0.0012278,0.0012278,0.0012278
41,4339.6,0.71024,1.23923,0.65829,1.0686,0.77592,0.69538,0.76131,0.58228,0.78171,0.70154,0.76296,0.52616,0.71618,1.34565,0.69324,1.14861,0.001208,0.001208,0.001208
42,4442.31,0.70364,1.23164,0.64675,1.06732,0.78793,0.67692,0.74715,0.57239,0.78451,0.69231,0.75154,0.50995,0.69278,1.30546,0.68956,1.15631,0.0011882,0.0011882,0.0011882
