epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,2753.93,0.60204,5.09707,0.22881,0.46243,1.08478,0.98974,0.99524,0.99495,0.9313,0.82389,0.82857,0.75022,0.16045,0.42128,3.71899,0.10426,0.31239,0.95171,0.007327,0.007327,0.007327
29,2854.36,0.59253,4.97389,0.22793,0.45133,1.07865,0.98586,0.99629,0.99481,0.92468,0.74339,0.75714,0.65983,0.14912,0.41834,3.73667,0.12485,0.30573,0.94272,0.007228,0.007228,0.007228
30,2948.72,0.61113,4.9566,0.22556,0.45838,1.08394,0.98591,0.99951,0.99495,0.92457,0.7673,0.75714,0.69663,0.16295,0.40779,3.72059,0.09201,0.30065,0.94811,0.007129,0.007129,0.007129
31,3044.9,0.59781,4.86953,0.22173,0.44917,1.07799,0.9808,1,0.9949,0.91869,0.77997,0.79524,0.72851,0.17982,0.43061,3.69904,0.11626,0.31319,0.96053,0.00703,0.00703,0.00703
32,3145.21,0.59293,4.90547,0.22254,0.44992,1.08223,0.99412,0.98571,0.99491,0.94412,0.73948,0.74762,0.67309,0.14243,0.38452,3.74177,0.081,0.2951,0.91857,0.006931,0.006931,0.006931
33,3239.93,0.5674,4.80334,0.22381,0.42923,1.05914,0.98892,1,0.99486,0.92357,0.81679,0.82857,0.76107,0.16299,0.42188,3.69944,0.09183,0.30293,0.94362,0.006832,0.006832,0.006832
34,3334.55,0.58659,4.83277,0.22274,0.44398,1.07766,0.98422,1,0.99432,0.91148,0.80133,0.81429,0.73622,0.16951,0.42821,3.62537,0.09109,0.30222,0.96425,0.006733,0.006733,0.006733
35,3429.15,0.56352,4.74493,0.21702,0.42798,1.05898,0.98591,0.99939,0.99495,0.93941,0.8309,0.84234,0.80996,0.18529,0.38831,3.64258,0.09563,0.28324,0.91961,0.006634,0.006634,0.006634
36,3528.79,0.56016,4.5798,0.21459,0.42468,1.05398,0.99046,0.98899,0.99476,0.93317,0.78047,0.77878,0.74573,0.19741,0.39718,3.63805,0.10922,0.29389,0.94041,0.006535,0.006535,0.006535
37,3624.46,0.55147,4.60246,0.21638,0.42266,1.05082,0.98273,1,0.9949,0.95082,0.85618,0.87143,0.85203,0.19444,0.35489,3.57696,0.11182,0.27645,0.90264,0.006436,0.006436,0.006436
38,3720.29,0.54224,4.54738,0.21209,0.40874,1.04589,0.98576,1,0.99486,0.94856,0.81052,0.81905,0.77416,0.20444,0.35839,3.55134,0.09047,0.2666,0.89782,0.006337,0.006337,0.006337
39,3814.62,0.55397,4.53663,0.20589,0.41552,1.04748,0.98828,0.99524,0.99476,0.95237,0.82911,0.83333,0.72928,0.15798,0.37396,3.60344,0.08807,0.30479,0.90574,0.006238,0.006238,0.006238
40,3910.13,0.53747,4.47791,0.20743,0.40702,1.04751,0.98937,1,0.9949,0.94403,0.82917,0.8381,0.78665,0.17772,0.36345,3.60618,0.07192,0.26261,0.88911,0.006139,0.006139,0.006139
41,4006.72,0.53145,4.4402,0.21044,0.39422,1.04444,0.99432,1,0.995,0.95924,0.86101,0.86667,0.83891,0.22301,0.35757,3.44299,0.0894,0.25537,0.89657,0.00604,0.00604,0.00604
42,4105.97,0.53223,4.43137,0.20383,0.39817,1.04248,0.99471,0.99524,0.995,0.95331,0.76655,0.76667,0.71149,0.17934,0.35001,3.61666,0.09292,0.27256,0.88778,0.005941,0.005941,0.005941
43,4199.25,0.51419,4.34866,0.20135,0.3938,1.02616,0.9942,1,0.99495,0.95592,0.8668,0.86766,0.85454,0.24,0.34526,3.39298,0.08427,0.26223,0.88035,0.005842,0.005842,0.005842
44,4298.7,0.50451,4.22279,0.20171,0.38457,1.02572,0.99056,0.99898,0.9949,0.96403,0.79814,0.79524,0.76691,0.20621,0.34613,3.53857,0.08801,0.25935,0.88138,0.005743,0.005743,0.005743
45,4396.08,0.52274,4.30334,0.19937,0.39548,1.04142,0.98952,1,0.99481,0.94347,0.8528,0.8619,0.79996,0.20649,0.34517,3.44969,0.09143,0.27083,0.88147,0.005644,0.005644,0.005644
46,4494.62,0.52293,4.22327,0.2024,0.39118,1.03941,0.99013,1,0.99486,0.94774,0.79204,0.8,0.74504,0.21402,0.36327,3.51831,0.10871,0.27033,0.89668,0.005545,0.005545,0.005545
47,4594.31,0.51959,4.18817,0.19579,0.38837,1.03272,0.99373,1,0.99491,0.95716,0.87182,0.87619,0.83403,0.21812,0.32601,3.19759,0.0702,0.25257,0.8749,0.005446,0.005446,0.005446
48,4693.95,0.49571,4.09737,0.19668,0.37256,1.02233,0.99475,1,0.99495,0.97093,0.86674,0.87143,0.82347,0.2721,0.32807,3.15153,0.07981,0.25053,0.87425,0.005347,0.005347,0.005347
49,4797.08,0.49332,4.02337,0.19741,0.37276,1.01731,0.99013,1,0.99495,0.95388,0.89101,0.9,0.85741,0.26819,0.34419,3.13209,0.09254,0.24718,0.87012,0.005248,0.005248,0.005248
